Freq.	V(d_3p)
2.00000000000000e+007	(-7.99171891108774e+000dB,-7.75322023965156e-001°)
3.99900000000000e+007	(-8.00170475552897e+000dB,-1.43196000860838e+000°)
5.99800000000000e+007	(-8.00643064895643e+000dB,-2.08236344469525e+000°)
7.99700000000000e+007	(-8.00944367682060e+000dB,-2.73658727182821e+000°)
9.99600000000000e+007	(-8.01194252833275e+000dB,-3.39284807057332e+000°)
1.19950000000000e+008	(-8.01429605626681e+000dB,-4.04924792576503e+000°)
1.39940000000000e+008	(-8.01660215858358e+000dB,-4.70456723479162e+000°)
1.59930000000000e+008	(-8.01885918748463e+000dB,-5.35807877362305e+000°)
1.79920000000000e+008	(-8.02102596993980e+000dB,-6.00938069244284e+000°)
1.99910000000000e+008	(-8.02304639905012e+000dB,-6.65829355912567e+000°)
2.19900000000000e+008	(-8.02486096118691e+000dB,-7.30479578625668e+000°)
2.39890000000000e+008	(-8.02641264757561e+000dB,-7.94897978510527e+000°)
2.59880000000000e+008	(-8.02765006884368e+000dB,-8.59101986755862e+000°)
2.79870000000000e+008	(-8.02852899403622e+000dB,-9.23114755986134e+000°)
2.99860000000000e+008	(-8.02901292727045e+000dB,-9.86963218851647e+000°)
3.19850000000000e+008	(-8.02907307680176e+000dB,-1.05067655849548e+001°)
3.39840000000000e+008	(-8.02868794556023e+000dB,-1.11428501806412e+001°)
3.59830000000000e+008	(-8.02784270065751e+000dB,-1.17781899432842e+001°)
3.79820000000000e+008	(-8.02652843239287e+000dB,-1.24130836853785e+001°)
3.99810000000000e+008	(-8.02474137946677e+000dB,-1.30478203242218e+001°)
4.19800000000000e+008	(-8.02248217175632e+000dB,-1.36826757142327e+001°)
4.39790000000000e+008	(-8.01975512293669e+000dB,-1.43179107160020e+001°)
4.59780000000000e+008	(-8.01656759115246e+000dB,-1.49537702125360e+001°)
4.79770000000000e+008	(-8.01292941587250e+000dB,-1.55904828294526e+001°)
4.99760000000000e+008	(-8.00885243215959e+000dB,-1.62282611600410e+001°)
5.19750000000000e+008	(-8.00435005912347e+000dB,-1.68673023362553e+001°)
5.39740000000000e+008	(-7.99943695667502e+000dB,-1.75077888218144e+001°)
5.59730000000000e+008	(-7.99412874334795e+000dB,-1.81498893332701e+001°)
5.79720000000000e+008	(-7.98844176749439e+000dB,-1.87937598192982e+001°)
5.99710000000000e+008	(-7.98239292428322e+000dB,-1.94395444480445e+001°)
6.19700000000000e+008	(-7.97599951140273e+000dB,-2.00873765676866e+001°)
6.39690000000000e+008	(-7.96927911703821e+000dB,-2.07373796171634e+001°)
6.59680000000000e+008	(-7.96224953443813e+000dB,-2.13896679728732e+001°)
6.79670000000000e+008	(-7.95492869813905e+000dB,-2.20443477236635e+001°)
6.99660000000000e+008	(-7.94733463763551e+000dB,-2.27015173711098e+001°)
7.19650000000000e+008	(-7.93948544494135e+000dB,-2.33612684553516e+001°)
7.39640000000000e+008	(-7.93139925307178e+000dB,-2.40236861089437e+001°)
7.59630000000000e+008	(-7.92309422298715e+000dB,-2.46888495425783e+001°)
7.79620000000000e+008	(-7.91458853697765e+000dB,-2.53568324673509e+001°)
7.99610000000000e+008	(-7.90590039683984e+000dB,-2.60277034586413e+001°)
8.19600000000000e+008	(-7.89704802550509e+000dB,-2.67015262667872e+001°)
8.39590000000000e+008	(-7.88804967104127e+000dB,-2.73783600796482e+001°)
8.59580000000000e+008	(-7.87892361216218e+000dB,-2.80582597419388e+001°)
8.79570000000000e+008	(-7.86968816455235e+000dB,-2.87412759359234e+001°)
8.99560000000000e+008	(-7.86036168745990e+000dB,-2.94274553277362e+001°)
9.19550000000000e+008	(-7.85096259012606e+000dB,-3.01168406832483e+001°)
9.39540000000000e+008	(-7.84150933771130e+000dB,-3.08094709570602e+001°)
9.59530000000000e+008	(-7.83202045645621e+000dB,-3.15053813578728e+001°)
9.79520000000000e+008	(-7.82251453787435e+000dB,-3.22046033931806e+001°)
