Freq.	V(d_3p)
2.00000000000000e+007	(-3.56684028274664e+001dB,-1.52492219358510e+002°)
3.99900000000000e+007	(-3.39707176542385e+001dB,-1.62475707678954e+002°)
5.99800000000000e+007	(-3.35048927667916e+001dB,-1.68871189714903e+002°)
7.99700000000000e+007	(-3.34226003072610e+001dB,-1.72728800839038e+002°)
9.99600000000000e+007	(-3.34551640969701e+001dB,-1.74998865685046e+002°)
1.19950000000000e+008	(-3.35071551537427e+001dB,-1.76329249931794e+002°)
1.39940000000000e+008	(-3.35465154423786e+001dB,-1.77129271865954e+002°)
1.59930000000000e+008	(-3.35658701599785e+001dB,-1.77649037574026e+002°)
1.79920000000000e+008	(-3.35672898142725e+001dB,-1.78036900305849e+002°)
1.99910000000000e+008	(-3.35559294518942e+001dB,-1.78376723540965e+002°)
2.19900000000000e+008	(-3.35372834476368e+001dB,-1.78711622427939e+002°)
2.39890000000000e+008	(-3.35160172192840e+001dB,-1.79059469096403e+002°)
2.59880000000000e+008	(-3.34955549505903e+001dB,-1.79423354293065e+002°)
2.79870000000000e+008	(-3.34780621769667e+001dB,-1.79798701784569e+002°)
2.99860000000000e+008	(-3.34646318736079e+001dB,1.79822057685305e+002°)
3.19850000000000e+008	(-3.34555528868231e+001dB,1.79446661532648e+002°)
3.39840000000000e+008	(-3.34505819644725e+001dB,1.79081548115281e+002°)
3.59830000000000e+008	(-3.34491749179703e+001dB,1.78731308343903e+002°)
3.79820000000000e+008	(-3.34506595536948e+001dB,1.78398688914548e+002°)
3.99810000000000e+008	(-3.34543510666891e+001dB,1.78084872494103e+002°)
4.19800000000000e+008	(-3.34596198879326e+001dB,1.77789853674602e+002°)
4.39790000000000e+008	(-3.34659247814135e+001dB,1.77512807041224e+002°)
4.59780000000000e+008	(-3.34728230368023e+001dB,1.77252398691337e+002°)
4.79770000000000e+008	(-3.34799670852275e+001dB,1.77007026501739e+002°)
4.99760000000000e+008	(-3.34870941216558e+001dB,1.76774992518718e+002°)
