Freq.	V(d_3p)
Step Information: Ph=0  (Run: 1/7)
1.59921000000000e+009	(-6.68532290612158e+001dB,-1.46824515200864e+002°)
1.61920000000000e+009	(-6.66832147915248e+001dB,-1.47693549576763e+002°)
1.63919000000000e+009	(-6.65147332944706e+001dB,-1.48554101144870e+002°)
1.65918000000000e+009	(-6.63477584275414e+001dB,-1.49406359693678e+002°)
1.67917000000000e+009	(-6.61822648550845e+001dB,-1.50250509009072e+002°)
1.69916000000000e+009	(-6.60182280076827e+001dB,-1.51086727152970e+002°)
1.71915000000000e+009	(-6.58556240443511e+001dB,-1.51915186724269e+002°)
1.73914000000000e+009	(-6.56944298172093e+001dB,-1.52736055103444e+002°)
1.75913000000000e+009	(-6.55346228383846e+001dB,-1.53549494680473e+002°)
1.77912000000000e+009	(-6.53761812491950e+001dB,-1.54355663069945e+002°)
1.79911000000000e+009	(-6.52190837911449e+001dB,-1.55154713311699e+002°)
1.81910000000000e+009	(-6.50633097788837e+001dB,-1.55946794060355e+002°)
1.83909000000000e+009	(-6.49088390747958e+001dB,-1.56732049763265e+002°)
1.85908000000000e+009	(-6.47556520651481e+001dB,-1.57510620828023e+002°)
1.87907000000000e+009	(-6.46037296377362e+001dB,-1.58282643780656e+002°)
1.89906000000000e+009	(-6.44530531608361e+001dB,-1.59048251414815e+002°)
1.91905000000000e+009	(-6.43036044634579e+001dB,-1.59807572932962e+002°)
1.93904000000000e+009	(-6.41553658167080e+001dB,-1.60560734079715e+002°)
1.95903000000000e+009	(-6.40083199162541e+001dB,-1.61307857268084e+002°)
1.97902000000000e+009	(-6.38624498658260e+001dB,-1.62049061699572e+002°)
1.99901000000000e+009	(-6.37177391615927e+001dB,-1.62784463477754e+002°)
2.01900000000000e+009	(-6.35741716774609e+001dB,-1.63514175716148e+002°)
2.03899000000000e+009	(-6.34317316511375e+001dB,-1.64238308641144e+002°)
2.05898000000000e+009	(-6.32904036709840e+001dB,-1.64956969689538e+002°)
2.07897000000000e+009	(-6.31501726635425e+001dB,-1.65670263601658e+002°)
2.09896000000000e+009	(-6.30110238817640e+001dB,-1.66378292510409e+002°)
2.11895000000000e+009	(-6.28729428937782e+001dB,-1.67081156025568e+002°)
2.13894000000000e+009	(-6.27359155722990e+001dB,-1.67778951314899e+002°)
2.15893000000000e+009	(-6.25999280845354e+001dB,-1.68471773181614e+002°)
2.17892000000000e+009	(-6.24649668825945e+001dB,-1.69159714137935e+002°)
2.19891000000000e+009	(-6.23310186943914e+001dB,-1.69842864476598e+002°)
2.21890000000000e+009	(-6.21980705149343e+001dB,-1.70521312337878e+002°)
2.23889000000000e+009	(-6.20661095980820e+001dB,-1.71195143775286e+002°)
2.25888000000000e+009	(-6.19351234486400e+001dB,-1.71864442817726e+002°)
2.27887000000000e+009	(-6.18050998148581e+001dB,-1.72529291529452e+002°)
2.29886000000000e+009	(-6.16760266812226e+001dB,-1.73189770067635e+002°)
2.31885000000000e+009	(-6.15478922616034e+001dB,-1.73845956737665e+002°)
2.33884000000000e+009	(-6.14206849926821e+001dB,-1.74497928046389e+002°)
2.35883000000000e+009	(-6.12943935276627e+001dB,-1.75145758753362e+002°)
2.37882000000000e+009	(-6.11690067302652e+001dB,-1.75789521920115e+002°)
2.39881000000000e+009	(-6.10445136689361e+001dB,-1.76429288957784e+002°)
2.41880000000000e+009	(-6.09209036113256e+001dB,-1.77065129672729e+002°)
2.43879000000000e+009	(-6.07981660189727e+001dB,-1.77697112310771e+002°)
2.45878000000000e+009	(-6.06762905421969e+001dB,-1.78325303600067e+002°)
2.47877000000000e+009	(-6.05552670152039e+001dB,-1.78949768791782e+002°)
2.49876000000000e+009	(-6.04350854513564e+001dB,-1.79570571700138e+002°)
2.51875000000000e+009	(-6.03157360386403e+001dB,1.79812225259252e+002°)
2.53874000000000e+009	(-6.01972091352943e+001dB,1.79198561032438e+002°)
2.55873000000000e+009	(-6.00794952655945e+001dB,1.78588375891063e+002°)
2.57872000000000e+009	(-5.99625851157867e+001dB,1.77981611397876e+002°)
2.59871000000000e+009	(-5.98464695301763e+001dB,1.77378210373106e+002°)
2.61870000000000e+009	(-5.97311395073393e+001dB,1.76778116861905e+002°)
2.63869000000000e+009	(-5.96165861964684e+001dB,1.76181276103052e+002°)
2.65868000000000e+009	(-5.95028008938387e+001dB,1.75587634498403e+002°)
2.67867000000000e+009	(-5.93897750393952e+001dB,1.74997139583496e+002°)
2.69866000000000e+009	(-5.92775002134436e+001dB,1.74409739998861e+002°)
2.71865000000000e+009	(-5.91659681334587e+001dB,1.73825385462412e+002°)
2.73864000000000e+009	(-5.90551706509719e+001dB,1.73244026742475e+002°)
2.75863000000000e+009	(-5.89450997485802e+001dB,1.72665615631960e+002°)
2.77862000000000e+009	(-5.88357475370287e+001dB,1.72090104922869e+002°)
2.79861000000000e+009	(-5.87271062523849e+001dB,1.71517448381954e+002°)
2.81860000000000e+009	(-5.86191682532983e+001dB,1.70947600726791e+002°)
2.83859000000000e+009	(-5.85119260183405e+001dB,1.70380517602839e+002°)
2.85858000000000e+009	(-5.84053721434115e+001dB,1.69816155560920e+002°)
2.87857000000000e+009	(-5.82994993392361e+001dB,1.69254472035493e+002°)
2.89856000000000e+009	(-5.81943004289097e+001dB,1.68695425323579e+002°)
2.91855000000000e+009	(-5.80897683455208e+001dB,1.68138974564040e+002°)
2.93854000000000e+009	(-5.79858961298433e+001dB,1.67585079717788e+002°)
2.95853000000000e+009	(-5.78826769280754e+001dB,1.67033701548337e+002°)
2.97852000000000e+009	(-5.77801039896489e+001dB,1.66484801602986e+002°)
2.99851000000000e+009	(-5.76781706650797e+001dB,1.65938342194310e+002°)
3.01850000000000e+009	(-5.75768704038873e+001dB,1.65394286382515e+002°)
3.03849000000000e+009	(-5.74761967525660e+001dB,1.64852597958003e+002°)
3.05848000000000e+009	(-5.73761433525806e+001dB,1.64313241424554e+002°)
3.07847000000000e+009	(-5.72767039384433e+001dB,1.63776181982750e+002°)
3.09846000000000e+009	(-5.71778723358083e+001dB,1.63241385514073e+002°)
3.11845000000000e+009	(-5.70796424596279e+001dB,1.62708818565410e+002°)
3.13844000000000e+009	(-5.69820083123363e+001dB,1.62178448333651e+002°)
3.15843000000000e+009	(-5.68849639820874e+001dB,1.61650242651113e+002°)
3.17842000000000e+009	(-5.67885036410157e+001dB,1.61124169970986e+002°)
3.19841000000000e+009	(-5.66926215435493e+001dB,1.60600199353356e+002°)
3.21840000000000e+009	(-5.65973120247438e+001dB,1.60078300451422e+002°)
3.23839000000000e+009	(-5.65025694986695e+001dB,1.59558443498230e+002°)
3.25838000000000e+009	(-5.64083884568069e+001dB,1.59040599293430e+002°)
3.27837000000000e+009	(-5.63147634664938e+001dB,1.58524739190715e+002°)
3.29836000000000e+009	(-5.62216891693966e+001dB,1.58010835085185e+002°)
3.31835000000000e+009	(-5.61291602800151e+001dB,1.57498859401321e+002°)
3.33834000000000e+009	(-5.60371715842051e+001dB,1.56988785080937e+002°)
3.35833000000000e+009	(-5.59457179377388e+001dB,1.56480585571571e+002°)
3.37832000000000e+009	(-5.58547942648915e+001dB,1.55974234815018e+002°)
3.39831000000000e+009	(-5.57643955570584e+001dB,1.55469707236275e+002°)
3.41830000000000e+009	(-5.56745168713805e+001dB,1.54966977732329e+002°)
3.43829000000000e+009	(-5.55851533294187e+001dB,1.54466021661624e+002°)
