time	V(d_1p)	V(d_3p)	V(d_5p)
3.531749083236781e-011	2.687663e-001	-8.643418e-003	2.598028e-001
3.565609527606784e-011	2.635545e-001	-9.373809e-003	2.549324e-001
3.599469971976787e-011	2.574338e-001	-1.008884e-002	2.492164e-001
3.633330416346790e-011	2.504040e-001	-1.078851e-002	2.426547e-001
3.667190860716794e-011	2.424653e-001	-1.147282e-002	2.352475e-001
3.724629931333029e-011	2.273697e-001	-1.247519e-002	2.216668e-001
3.789991827778739e-011	2.091882e-001	-1.334349e-002	2.050200e-001
3.869166826960267e-011	1.857741e-001	-1.419626e-002	1.827842e-001
3.918456460729562e-011	1.702733e-001	-1.462389e-002	1.680223e-001
3.966841346291302e-011	1.545192e-001	-1.492813e-002	1.532109e-001
4.014696368222320e-011	1.387086e-001	-1.507477e-002	1.386270e-001
4.064537714390709e-011	1.224203e-001	-1.502278e-002	1.239222e-001
4.120082129339108e-011	1.050620e-001	-1.468003e-002	1.085968e-001
4.173455220559240e-011	8.970537e-002	-1.404799e-002	9.531474e-002
4.233196971624436e-011	7.459354e-002	-1.299122e-002	8.246937e-002
4.293911420213234e-011	6.180905e-002	-1.157135e-002	7.175868e-002
4.340838213522756e-011	5.375797e-002	-1.026908e-002	6.507932e-002
4.385077149849540e-011	4.754659e-002	-8.912130e-003	5.995182e-002
4.433941711631187e-011	4.204369e-002	-7.306554e-003	5.541435e-002
4.480652495077491e-011	3.787177e-002	-5.703173e-003	5.195747e-002
4.532394998692897e-011	3.414724e-002	-3.891104e-003	4.882166e-002
4.586335203841016e-011	3.088646e-002	-2.002573e-003	4.598426e-002
4.643860601160110e-011	2.770743e-002	-2.900783e-005	4.307594e-002
4.699697582212216e-011	2.463017e-002	1.817293e-003	4.009767e-002
4.760821355572300e-011	2.110777e-002	3.736062e-003	3.649149e-002
4.827734480044411e-011	1.713085e-002	5.696106e-003	3.215722e-002
4.882108429477583e-011	1.401110e-002	7.172870e-003	2.850746e-002
4.930625570745152e-011	1.156643e-002	8.398866e-003	2.538085e-002
4.987855904902251e-011	9.478458e-003	9.729878e-003	2.221029e-002
5.040723195827248e-011	8.676064e-003	1.084459e-002	2.012981e-002
5.102766974212899e-011	9.612299e-003	1.200491e-002	1.923143e-002
5.167399073919049e-011	1.321696e-002	1.303408e-002	2.057456e-002
5.226000000000000e-011	1.911497e-002	1.379928e-002	2.416424e-002
5.243580277824285e-011	2.143966e-002	1.398501e-002	2.559874e-002
5.267020648256666e-011	2.473270e-002	1.420958e-002	2.796666e-002
5.303722290696430e-011	3.082149e-002	1.453614e-002	3.268630e-002
5.342930181808295e-011	3.872259e-002	1.483324e-002	3.893742e-002
