time	V(d_1p)	V(d_3p)	V(d_5p)
2.116707849158518e-011	9.558012e-002	-6.458797e-003	5.504059e-003
2.183707538948118e-011	1.171882e-001	-8.270293e-003	3.426852e-003
2.250093219199560e-011	1.390386e-001	-1.059734e-002	7.165233e-004
2.310952866276578e-011	1.588111e-001	-1.287716e-002	-1.815372e-003
2.371670755034880e-011	1.775504e-001	-1.483077e-002	-3.730090e-003
2.416784057090179e-011	1.904354e-001	-1.585879e-002	-4.380433e-003
2.462283274921232e-011	2.022364e-001	-1.642703e-002	-4.066071e-003
2.510791474042146e-011	2.132957e-001	-1.651445e-002	-2.416180e-003
2.551948281135135e-011	2.213645e-001	-1.622026e-002	1.855412e-004
2.613000000000000e-011	2.311291e-001	-1.535350e-002	6.247411e-003
2.631315515659459e-011	2.335929e-001	-1.493971e-002	8.515199e-003
2.655736203205405e-011	2.364816e-001	-1.459610e-002	1.193357e-002
2.685012578354396e-011	2.394796e-001	-1.418064e-002	1.671304e-002
2.722164874334729e-011	2.427341e-001	-1.345841e-002	2.378513e-002
2.749400177410601e-011	2.447941e-001	-1.283315e-002	2.959338e-002
2.766070960972945e-011	2.459428e-001	-1.245363e-002	3.336290e-002
2.789312903902706e-011	2.474133e-001	-1.199133e-002	3.886306e-002
2.801990327318938e-011	2.481377e-001	-1.181913e-002	4.202590e-002
2.848074846369483e-011	2.507535e-001	-1.095374e-002	5.392799e-002
2.878953544024100e-011	2.523852e-001	-1.068259e-002	6.213159e-002
2.918724941916463e-011	2.544039e-001	-1.074777e-002	7.300945e-002
2.966203419671758e-011	2.568677e-001	-1.105263e-002	8.657967e-002
3.025292997819166e-011	2.602458e-001	-1.110282e-002	1.043802e-001
3.081455387752368e-011	2.638324e-001	-1.039513e-002	1.219909e-001
3.133063915184643e-011	2.673157e-001	-9.014216e-003	1.383507e-001
3.189749902311198e-011	2.709958e-001	-6.868791e-003	1.559162e-001
3.241428828886920e-011	2.738262e-001	-4.568315e-003	1.710567e-001
3.285312834210495e-011	2.755282e-001	-2.512305e-003	1.829346e-001
3.336118714998411e-011	2.763496e-001	-1.318131e-004	1.952858e-001
3.382396209442771e-011	2.757822e-001	1.999394e-003	2.050975e-001
3.419602431576234e-011	2.742845e-001	3.690620e-003	2.119606e-001
3.484000000000000e-011	2.692881e-001	6.639506e-003	2.218006e-001
3.500763900250042e-011	2.674748e-001	7.513544e-003	2.239959e-001
3.535023662395365e-011	2.632403e-001	8.972008e-003	2.279112e-001
3.570117941740411e-011	2.578427e-001	1.057033e-002	2.313851e-001
3.615782364343564e-011	2.492606e-001	1.302302e-002	2.353335e-001
3.660841619755312e-011	2.393785e-001	1.563649e-002	2.387637e-001
3.676691338287186e-011	2.356035e-001	1.649926e-002	2.398644e-001
3.730187499244246e-011	2.219436e-001	1.972885e-002	2.436119e-001
3.760059914121966e-011	2.140049e-001	2.124586e-002	2.456242e-001
3.796063229615384e-011	2.041706e-001	2.273441e-002	2.480150e-001
3.877024720652726e-011	1.807892e-001	2.539490e-002	2.536248e-001
3.974938550503169e-011	1.505150e-001	2.830984e-002	2.611899e-001
4.022272611283287e-011	1.356162e-001	2.946383e-002	2.649440e-001
4.073536526713457e-011	1.198021e-001	3.022242e-002	2.687418e-001
4.126517968208491e-011	1.042781e-001	3.022532e-002	2.720121e-001
4.183569741853791e-011	8.902270e-002	2.916172e-002	2.743373e-001
4.241167121161102e-011	7.560255e-002	2.694725e-002	2.749883e-001
4.296405798042454e-011	6.485838e-002	2.387519e-002	2.736801e-001
4.328306895852490e-011	5.963827e-002	2.176550e-002	2.719690e-001
4.357669310414751e-011	5.544141e-002	1.964336e-002	2.697515e-001
4.389532311324563e-011	5.152113e-002	1.728735e-002	2.667636e-001
4.421226588167176e-011	4.828402e-002	1.503986e-002	2.629201e-001
4.452086301897395e-011	4.559753e-002	1.269531e-002	2.583407e-001
4.492500499696443e-011	4.261930e-002	9.458987e-003	2.512624e-001
4.529200000000000e-011	4.034275e-002	6.553411e-003	2.439510e-001
4.540209850091067e-011	3.976488e-002	5.798058e-003	2.415593e-001
4.584249250455336e-011	3.744141e-002	2.501573e-003	2.315376e-001
4.612958307705379e-011	3.603110e-002	6.296774e-004	2.247304e-001
4.647893803673337e-011	3.440701e-002	-1.201811e-003	2.161438e-001
4.681066641243518e-011	3.287850e-002	-2.622006e-003	2.076117e-001
4.722290681302919e-011	3.087664e-002	-4.232138e-003	1.964245e-001
4.767680804927858e-011	2.844606e-002	-6.086036e-003	1.833832e-001
4.813404766088980e-011	2.573770e-002	-8.213251e-003	1.696338e-001
4.862722366704909e-011	2.262503e-002	-1.081935e-002	1.544325e-001
4.910426647462900e-011	1.962877e-002	-1.353434e-002	1.397441e-001
4.958578792628066e-011	1.690718e-002	-1.628858e-002	1.253508e-001
5.011207426438734e-011	1.466804e-002	-1.911058e-002	1.105704e-001
5.069429981328504e-011	1.357892e-002	-2.182998e-002	9.583596e-002
5.127870052535994e-011	1.442879e-002	-2.406927e-002	8.307418e-002
5.158479053233826e-011	1.577815e-002	-2.505495e-002	7.725162e-002
5.177387889345359e-011	1.695167e-002	-2.560849e-002	7.395183e-002
5.202599670827403e-011	1.893788e-002	-2.629302e-002	6.989223e-002
5.228340032917259e-011	2.147970e-002	-2.696684e-002	6.612082e-002
5.242380230420818e-011	2.306388e-002	-2.737121e-002	6.419035e-002
5.261100493758896e-011	2.535429e-002	-2.773108e-002	6.183775e-002
5.297016695977194e-011	3.058462e-002	-2.832752e-002	5.781238e-002
5.335194564504691e-011	3.741789e-002	-2.911673e-002	5.404631e-002
5.364741845626933e-011	4.353685e-002	-2.986590e-002	5.140735e-002
5.380108791495010e-011	4.697767e-002	-3.024929e-002	5.013988e-002
5.395475737363088e-011	5.055355e-002	-3.063157e-002	4.889568e-002
5.410842683231166e-011	5.426450e-002	-3.101272e-002	4.767474e-002
5.426209629099244e-011	5.811051e-002	-3.139276e-002	4.647707e-002
5.441576574967321e-011	6.209158e-002	-3.177167e-002	4.530266e-002
5.456943520835399e-011	6.620772e-002	-3.214947e-002	4.415151e-002
5.472310466703476e-011	7.045893e-002	-3.252614e-002	4.302363e-002
5.513087549489687e-011	8.183140e-002	-3.308239e-002	4.007212e-002
5.563986545032592e-011	9.664971e-002	-3.317464e-002	3.644381e-002
5.619023428325470e-011	1.135424e-001	-3.294670e-002	3.238809e-002
