Freq.	V(n_3p)
2.00000000000000e+007	(-1.08172244161974e+001dB,-4.69431236000449e+000°)
3.99900000000000e+007	(-1.08375667367651e+001dB,-9.22138626613818e+000°)
5.99800000000000e+007	(-1.08535366016086e+001dB,-1.37184316788126e+001°)
7.99700000000000e+007	(-1.08683295342671e+001dB,-1.81995049217825e+001°)
9.99600000000000e+007	(-1.08826111223134e+001dB,-2.26668371620650e+001°)
1.19950000000000e+008	(-1.08964511017380e+001dB,-2.71221678862938e+001°)
1.39940000000000e+008	(-1.09098242216570e+001dB,-3.15671352385639e+001°)
1.59930000000000e+008	(-1.09226707945965e+001dB,-3.60029429882372e+001°)
1.79920000000000e+008	(-1.09348552769545e+001dB,-4.04304457581982e+001°)
1.99910000000000e+008	(-1.09461160264285e+001dB,-4.48505440080445e+001°)
2.19900000000000e+008	(-1.09560042765728e+001dB,-4.92648577148329e+001°)
2.39890000000000e+008	(-1.09637477336331e+001dB,-5.36774367461317e+001°)
2.59880000000000e+008	(-1.09682848760004e+001dB,-5.81028721382655e+001°)
2.79870000000000e+008	(-1.09737740241676e+001dB,-6.25756977880883e+001°)
2.99860000000000e+008	(-1.09875829917434e+001dB,-6.70379946994461e+001°)
3.19850000000000e+008	(-1.09997143202772e+001dB,-7.14745096232153e+001°)
3.39840000000000e+008	(-1.10110460259875e+001dB,-7.59197342933698e+001°)
3.59830000000000e+008	(-1.10238228149220e+001dB,-8.03730473960291e+001°)
3.79820000000000e+008	(-1.10388163656288e+001dB,-8.48280821719868e+001°)
3.99810000000000e+008	(-1.10561370116968e+001dB,-8.92790637213296e+001°)
4.19800000000000e+008	(-1.10755833121110e+001dB,-9.37214282504476e+001°)
4.39790000000000e+008	(-1.10967906405607e+001dB,-9.81518138466299e+001°)
4.59780000000000e+008	(-1.11193150899974e+001dB,-1.02567967000070e+002°)
4.79770000000000e+008	(-1.11426894752448e+001dB,-1.06968594498492e+002°)
4.99760000000000e+008	(-1.11664585790902e+001dB,-1.11353177048495e+002°)
5.19750000000000e+008	(-1.11901970161236e+001dB,-1.15721785983333e+002°)
5.39740000000000e+008	(-1.12135152521181e+001dB,-1.20074936716884e+002°)
5.59730000000000e+008	(-1.12360597958679e+001dB,-1.24413488878667e+002°)
5.79720000000000e+008	(-1.12575119352119e+001dB,-1.28738585067475e+002°)
5.99710000000000e+008	(-1.12775872372713e+001dB,-1.33051613808092e+002°)
6.19700000000000e+008	(-1.12960364431901e+001dB,-1.37354183740258e+002°)
6.39690000000000e+008	(-1.13126475574640e+001dB,-1.41648100213535e+002°)
6.59680000000000e+008	(-1.13272486430942e+001dB,-1.45935339316081e+002°)
6.79670000000000e+008	(-1.13397108177719e+001dB,-1.50218016902935e+002°)
6.99660000000000e+008	(-1.13499510095844e+001dB,-1.54498351288858e+002°)
7.19650000000000e+008	(-1.13579340245825e+001dB,-1.58778617765631e+002°)
7.39640000000000e+008	(-1.13636731015034e+001dB,-1.63061089641099e+002°)
7.59630000000000e+008	(-1.13672258992578e+001dB,-1.67347948607308e+002°)
7.79620000000000e+008	(-1.13686683113144e+001dB,-1.71641115740537e+002°)
7.99610000000000e+008	(-1.13679148244228e+001dB,-1.75942249554081e+002°)
8.19600000000000e+008	(-1.13647427617122e+001dB,1.79739380245745e+002°)
8.39590000000000e+008	(-1.13618643632014e+001dB,1.75405712824628e+002°)
8.59580000000000e+008	(-1.13577118425076e+001dB,1.71063788071669e+002°)
8.79570000000000e+008	(-1.13525373621719e+001dB,1.66706579904128e+002°)
8.99560000000000e+008	(-1.13468821399275e+001dB,1.62332639422079e+002°)
9.19550000000000e+008	(-1.13411940711781e+001dB,1.57941432303150e+002°)
9.39540000000000e+008	(-1.13359054370393e+001dB,1.53532838804071e+002°)
9.59530000000000e+008	(-1.13314478881931e+001dB,1.49107149099903e+002°)
9.79520000000000e+008	(-1.13282506077334e+001dB,1.44665091269402e+002°)
9.99510000000000e+008	(-1.13267333749952e+001dB,1.40207858897907e+002°)
1.01950000000000e+009	(-1.13272968761402e+001dB,1.35737137589113e+002°)
1.03949000000000e+009	(-1.13303100740897e+001dB,1.31255130080152e+002°)
1.05948000000000e+009	(-1.13360934974653e+001dB,1.26764574432771e+002°)
1.07947000000000e+009	(-1.13448971966981e+001dB,1.22268740699682e+002°)
1.09946000000000e+009	(-1.13568732009173e+001dB,1.17771380155989e+002°)
1.11945000000000e+009	(-1.13720450995779e+001dB,1.13276593467079e+002°)
1.13944000000000e+009	(-1.13902816328568e+001dB,1.08788590868822e+002°)
1.15943000000000e+009	(-1.14112849470451e+001dB,1.04311348968363e+002°)
1.17942000000000e+009	(-1.14346038517347e+001dB,9.98482219852434e+001°)
1.19941000000000e+009	(-1.14596752679762e+001dB,9.54016126268233e+001°)
1.21940000000000e+009	(-1.14858850970533e+001dB,9.09728089693662e+001°)
1.23939000000000e+009	(-1.15126303372084e+001dB,8.65620324939637e+001°)
1.25938000000000e+009	(-1.15393644533254e+001dB,8.21686526452689e+001°)
1.27937000000000e+009	(-1.15656175478530e+001dB,7.77914643639293e+001°)
1.29936000000000e+009	(-1.15909945884430e+001dB,7.34289283701987e+001°)
1.31935000000000e+009	(-1.16151616766925e+001dB,6.90793214052233e+001°)
1.33934000000000e+009	(-1.16378303814268e+001dB,6.47407951321476e+001°)
1.35933000000000e+009	(-1.16587463324940e+001dB,6.04113719029295e+001°)
1.37932000000000e+009	(-1.16776840794613e+001dB,5.60889108757449e+001°)
1.39931000000000e+009	(-1.16944474977134e+001dB,5.17710694161620e+001°)
1.41930000000000e+009	(-1.17088739381205e+001dB,4.74552727361077e+001°)
1.43929000000000e+009	(-1.17208402954575e+001dB,4.31386947223383e+001°)
1.45928000000000e+009	(-1.17302696262460e+001dB,3.88182459276460e+001°)
1.47927000000000e+009	(-1.17371375380739e+001dB,3.44905595094952e+001°)
1.49926000000000e+009	(-1.17414782236469e+001dB,3.01519603007690e+001°)
1.51925000000000e+009	(-1.17433909036171e+001dB,2.57983931094676e+001°)
1.53924000000000e+009	(-1.17430491591851e+001dB,2.14252686183648e+001°)
1.55923000000000e+009	(-1.17407198110789e+001dB,1.70271484964223e+001°)
1.57922000000000e+009	(-1.17368095379918e+001dB,1.25971127255957e+001°)
1.59921000000000e+009	(-1.17319925821641e+001dB,8.12548289907978e+000°)
1.61920000000000e+009	(-1.17275914169402e+001dB,3.59724286334365e+000°)
1.63919000000000e+009	(-1.17268248450542e+001dB,-1.01274860687654e+000°)
1.65918000000000e+009	(-1.17392571568479e+001dB,-5.74300632397534e+000°)
1.67917000000000e+009	(-1.17946262687517e+001dB,-1.05854001828655e+001°)
1.69916000000000e+009	(-1.19323515991129e+001dB,-1.50673337228723e+001°)
1.71915000000000e+009	(-1.20057251630062e+001dB,-1.85469431006557e+001°)
1.73914000000000e+009	(-1.19304154523236e+001dB,-2.24471108931907e+001°)
1.75913000000000e+009	(-1.18700341994527e+001dB,-2.69234673355728e+001°)
1.77912000000000e+009	(-1.18406363130625e+001dB,-3.15531078156169e+001°)
1.79911000000000e+009	(-1.18299606102127e+001dB,-3.62230048415610e+001°)
1.81910000000000e+009	(-1.18314698456743e+001dB,-4.09091564701275e+001°)
1.83909000000000e+009	(-1.18423667749659e+001dB,-4.56060130750756e+001°)
1.85908000000000e+009	(-1.18616445334396e+001dB,-5.03114989942093e+001°)
1.87907000000000e+009	(-1.18892462922952e+001dB,-5.50231930108430e+001°)
1.89906000000000e+009	(-1.19256948161432e+001dB,-5.97365684757205e+001°)
1.91905000000000e+009	(-1.19718372468275e+001dB,-6.44433257109137e+001°)
1.93904000000000e+009	(-1.20284901937552e+001dB,-6.91296693720096e+001°)
1.95903000000000e+009	(-1.20958532500631e+001dB,-7.37754671298078e+001°)
1.97902000000000e+009	(-1.21727387247184e+001dB,-7.83561196163640e+001°)
1.99901000000000e+009	(-1.22559922745042e+001dB,-8.28486187790353e+001°)
2.01900000000000e+009	(-1.23406998151807e+001dB,-8.72403647719831e+001°)
2.03899000000000e+009	(-1.24214144472632e+001dB,-9.15354463337164e+001°)
2.05898000000000e+009	(-1.24937669662972e+001dB,-9.57533807866540e+001°)
2.07897000000000e+009	(-1.25554240347621e+001dB,-9.99212232013725e+001°)
2.09896000000000e+009	(-1.26059817023309e+001dB,-1.04064917414868e+002°)
2.11895000000000e+009	(-1.26462217607204e+001dB,-1.08204527129515e+002°)
2.13894000000000e+009	(-1.26773512774930e+001dB,-1.12353723055216e+002°)
2.15893000000000e+009	(-1.27005335628620e+001dB,-1.16521528597938e+002°)
2.17892000000000e+009	(-1.27167112162121e+001dB,-1.20714480525515e+002°)
2.19891000000000e+009	(-1.27266094525144e+001dB,-1.24938347297462e+002°)
2.21890000000000e+009	(-1.27308210413890e+001dB,-1.29199260354045e+002°)
2.23889000000000e+009	(-1.27299192242467e+001dB,-1.33504400329805e+002°)
2.25888000000000e+009	(-1.27245816662398e+001dB,-1.37862423053531e+002°)
2.27887000000000e+009	(-1.27157324512841e+001dB,-1.42283762940975e+002°)
2.29886000000000e+009	(-1.27047275464053e+001dB,-1.46780872216470e+002°)
2.31885000000000e+009	(-1.26936301926532e+001dB,-1.51368321300490e+002°)
2.33884000000000e+009	(-1.26856499937096e+001dB,-1.56062382377768e+002°)
2.35883000000000e+009	(-1.26858334346738e+001dB,-1.60878959812955e+002°)
2.37882000000000e+009	(-1.27019698685977e+001dB,-1.65827084192185e+002°)
2.39881000000000e+009	(-1.27449644143019e+001dB,-1.70893650307690e+002°)
2.41880000000000e+009	(-1.28261963864893e+001dB,-1.76025593160357e+002°)
2.43879000000000e+009	(-1.29534787946939e+001dB,1.78832649108134e+002°)
2.45878000000000e+009	(-1.31610929786455e+001dB,1.73681282328690e+002°)
2.47877000000000e+009	(-1.35445819121903e+001dB,1.69320895233585e+002°)
2.49876000000000e+009	(-1.38342573776464e+001dB,1.67639138739394e+002°)
2.51875000000000e+009	(-1.36437848306910e+001dB,1.65775485226307e+002°)
2.53874000000000e+009	(-1.33629261218732e+001dB,1.61778694836008e+002°)
2.55873000000000e+009	(-1.31798474614888e+001dB,1.56767291682121e+002°)
2.57872000000000e+009	(-1.30846435122590e+001dB,1.51416551115628e+002°)
2.59871000000000e+009	(-1.30516447947416e+001dB,1.45949063097272e+002°)
2.61870000000000e+009	(-1.30651026627929e+001dB,1.40434145187026e+002°)
