time	V(ctle_out)	V(n_3p)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.155273276840241e-019	2.791041e-035	1.917756e-016
1.831054655368048e-018	2.046752e-034	3.835482e-016
3.662109310736096e-018	1.674599e-033	7.670876e-016
7.324218621472193e-018	1.339648e-032	1.534132e-015
1.464843724294439e-017	1.071664e-031	3.068080e-015
2.929687448588877e-017	8.572431e-031	6.135416e-015
5.859374897177754e-017	6.856530e-030	1.226785e-014
1.171874979435551e-016	5.482956e-029	2.452377e-014
2.343749958871102e-016	4.382739e-028	4.899983e-014
4.687499917742203e-016	3.500394e-027	9.780900e-014
9.374999835484407e-016	2.791057e-026	1.948570e-013
1.874999967096881e-015	2.218089e-025	3.866825e-013
3.749999934193763e-015	1.751041e-024	7.613397e-013
7.499999868387525e-015	1.363913e-023	1.475375e-012
1.499999973677505e-014	1.033840e-022	2.767765e-012
2.999999947355010e-014	7.408791e-022	4.851329e-012
5.999999894710020e-014	4.709000e-021	7.315758e-012
1.199999978942004e-013	5.602945e-020	7.432817e-012
2.115527322692004e-013	7.650620e-019	1.338509e-012
3.031054666442003e-013	-8.404917e-017	-6.193047e-012
3.946582010192003e-013	-1.211561e-015	-1.116711e-011
4.862109353942003e-013	-5.912834e-015	-1.235488e-011
5.777636697692003e-013	-1.501895e-014	-1.007102e-011
6.693164041442003e-013	-2.248418e-014	-5.361719e-012
7.608691385192003e-013	-1.721690e-014	5.103041e-013
8.524218728942003e-013	9.130998e-015	6.370173e-012
9.439746072692003e-013	5.719202e-014	1.128955e-011
1.035527341644200e-012	1.199014e-013	1.464802e-011
1.127080076019200e-012	1.850037e-013	1.613259e-011
1.218632810394200e-012	2.382513e-013	1.570076e-011
1.310185544769200e-012	2.663665e-013	1.352510e-011
1.401738279144200e-012	2.593052e-013	9.931529e-012
1.493291013519200e-012	2.116561e-013	5.339267e-012
1.584843747894200e-012	1.231946e-013	2.072265e-013
1.676396482269200e-012	-1.287307e-015	-5.010538e-012
1.767949216644200e-012	-1.527042e-013	-9.899345e-012
1.859501951019200e-012	-3.187688e-013	-1.410843e-011
1.951054685394200e-012	-4.852787e-013	-1.736629e-011
2.042607419769200e-012	-6.374496e-013	-1.948790e-011
2.134160154144200e-012	-7.611725e-013	-2.037535e-011
2.225712888519200e-012	-8.441080e-013	-2.001301e-011
2.317265622894200e-012	-8.765573e-013	-1.845888e-011
2.408818357269200e-012	-8.520799e-013	-1.583315e-011
2.500371091644200e-012	-7.678476e-013	-1.230528e-011
2.591923826019200e-012	-6.247442e-013	-8.080306e-012
2.683476560394200e-012	-4.272347e-013	-3.385332e-012
2.775029294769200e-012	-1.830361e-013	1.543221e-012
2.866582029144200e-012	9.737029e-014	6.471232e-012
2.958134763519200e-012	4.013429e-013	1.117697e-011
3.049687497894200e-012	7.147584e-013	1.545948e-011
3.141240232269200e-012	1.022727e-012	1.914518e-011
3.232792966644200e-012	1.310303e-012	2.209267e-011
3.324345701019200e-012	1.563167e-012	2.419581e-011
3.415898435394200e-012	1.768245e-012	2.538514e-011
3.507451169769200e-012	1.914244e-012	2.562787e-011
3.599003904144201e-012	1.992100e-012	2.492658e-011
3.690556638519201e-012	1.995305e-012	2.331683e-011
3.782109372894200e-012	1.920136e-012	2.086388e-011
3.873662107269200e-012	1.765764e-012	1.765875e-011
3.965214841644199e-012	1.534253e-012	1.381377e-011
4.056767576019199e-012	1.230465e-012	9.457892e-012
4.148320310394199e-012	8.618614e-013	4.731790e-012
4.239873044769198e-012	4.382352e-013	-2.169170e-013
4.331425779144198e-012	-2.863126e-014	-5.238348e-012
4.422978513519197e-012	-5.253566e-013	-1.018474e-011
4.514531247894197e-012	-1.037389e-012	-1.491446e-011
4.606083982269197e-012	-1.549456e-012	-1.929558e-011
4.697636716644196e-012	-2.046026e-012	-2.320898e-011
4.789189451019196e-012	-2.511760e-012	-2.655086e-011
4.880742185394195e-012	-2.931948e-012	-2.923477e-011
4.972294919769195e-012	-3.292917e-012	-3.119304e-011
5.063847654144195e-012	-3.582400e-012	-3.237770e-011
5.155400388519194e-012	-3.789859e-012	-3.276085e-011
5.246953122894194e-012	-3.906754e-012	-3.233454e-011
5.338505857269193e-012	-3.926759e-012	-3.111025e-011
5.430058591644193e-012	-3.845913e-012	-2.911783e-011
5.521611326019193e-012	-3.662717e-012	-2.640426e-011
5.613164060394192e-012	-3.378157e-012	-2.303197e-011
5.704716794769192e-012	-2.995686e-012	-1.907695e-011
5.796269529144192e-012	-2.521130e-012	-1.462668e-011
5.887822263519191e-012	-1.962555e-012	-9.777934e-012
5.979374997894191e-012	-1.330084e-012	-4.634430e-012
6.070927732269190e-012	-6.356623e-013	6.954692e-013
6.162480466644190e-012	1.071955e-013	6.101104e-012
6.254033201019190e-012	8.837046e-013	1.147178e-011
6.345585935394189e-012	1.678121e-012	1.669893e-011
6.437138669769189e-012	2.474070e-012	2.167819e-011
6.528691404144188e-012	3.254883e-012	2.631122e-011
6.620244138519188e-012	4.003940e-012	3.050747e-011
6.711796872894188e-012	4.704992e-012	3.418558e-011
6.803349607269187e-012	5.342491e-012	3.727471e-011
6.894902341644187e-012	5.901889e-012	3.971553e-011
6.986455076019186e-012	6.369917e-012	4.146102e-011
7.078007810394186e-012	6.734841e-012	4.247702e-011
7.169560544769186e-012	6.986681e-012	4.274251e-011
7.261113279144185e-012	7.117397e-012	4.224971e-011
7.352666013519185e-012	7.121042e-012	4.100395e-011
7.444218747894185e-012	6.993871e-012	3.902324e-011
7.535771482269186e-012	6.734413e-012	3.633779e-011
7.627324216644186e-012	6.511673e-012	3.298924e-011
7.718876951019187e-012	6.528200e-012	2.902978e-011
7.810429685394187e-012	6.681722e-012	2.452109e-011
7.901982419769187e-012	6.835700e-012	1.953325e-011
7.993535154144188e-012	6.985930e-012	1.414344e-011
8.085087888519188e-012	7.123653e-012	8.434663e-012
8.176640622894189e-012	7.239121e-012	2.494362e-012
8.268193357269189e-012	7.326086e-012	-3.586962e-012
8.359746091644189e-012	7.381947e-012	-9.717158e-012
8.451298826019190e-012	7.405932e-012	-1.580380e-011
8.542851560394190e-012	7.398336e-012	-2.175557e-011
8.634404294769191e-012	7.360421e-012	-2.748351e-011
8.725957029144191e-012	7.294378e-012	-3.290229e-011
8.817509763519191e-012	7.203266e-012	-3.793139e-011
8.909062497894192e-012	7.090946e-012	-4.249609e-011
9.000615232269192e-012	6.961984e-012	-4.652850e-011
9.092167966644193e-012	6.821555e-012	-4.996832e-011
9.183720701019193e-012	6.675320e-012	-5.276366e-011
9.275273435394194e-012	6.529308e-012	-5.487152e-011
9.366826169769194e-012	6.389784e-012	-5.625834e-011
9.458378904144194e-012	6.263117e-012	-5.690025e-011
9.549931638519195e-012	6.155643e-012	-5.678333e-011
9.641484372894195e-012	6.073533e-012	-5.590364e-011
9.733037107269196e-012	6.022661e-012	-5.426714e-011
9.824589841644196e-012	6.008481e-012	-5.188953e-011
9.916142576019196e-012	6.035914e-012	-4.879591e-011
1.000769531039420e-011	6.109233e-012	-4.502041e-011
1.009924804476920e-011	6.231975e-012	-4.060563e-011
1.019080077914420e-011	6.406853e-012	-3.560202e-011
1.028235351351920e-011	6.635690e-012	-3.006722e-011
1.037390624789420e-011	6.919371e-012	-2.406527e-011
1.046545898226920e-011	7.257803e-012	-1.766580e-011
1.055701171664420e-011	7.649895e-012	-1.094310e-011
1.064856445101920e-011	8.093551e-012	-3.975259e-012
1.074011718539420e-011	8.585684e-012	3.156805e-012
1.083166991976920e-011	9.122238e-012	1.037032e-011
1.092322265414420e-011	9.698234e-012	1.758160e-011
1.101477538851920e-011	1.030782e-011	2.470702e-011
1.110632812289420e-011	1.094436e-011	3.166398e-011
1.119788085726920e-011	1.160049e-011	3.837177e-011
1.128943359164420e-011	1.226822e-011	4.475251e-011
1.138098632601920e-011	1.293906e-011	5.073192e-011
1.147253906039420e-011	1.360410e-011	5.624017e-011
1.156409179476920e-011	1.425415e-011	6.121255e-011
