time	V(sum)
0.000000000000000e+000	0.000000e+000
1.220703103578699e-018	0.000000e+000
2.441406207157398e-018	0.000000e+000
4.882812414314795e-018	0.000000e+000
9.765624828629590e-018	0.000000e+000
1.953124965725918e-017	0.000000e+000
3.906249931451836e-017	0.000000e+000
7.812499862903672e-017	0.000000e+000
1.562499972580734e-016	0.000000e+000
3.124999945161469e-016	0.000000e+000
6.249999890322938e-016	0.000000e+000
1.249999978064588e-015	0.000000e+000
2.499999956129175e-015	0.000000e+000
4.999999912258350e-015	0.000000e+000
9.999999824516700e-015	0.000000e+000
1.999999964903340e-014	0.000000e+000
3.999999929806680e-014	0.000000e+000
7.999999859613360e-014	0.000000e+000
1.599999971922672e-013	0.000000e+000
2.820703096922672e-013	0.000000e+000
4.041406221922672e-013	0.000000e+000
5.262109346922672e-013	0.000000e+000
6.482812471922671e-013	0.000000e+000
7.703515596922671e-013	0.000000e+000
8.924218721922671e-013	0.000000e+000
1.014492184692267e-012	0.000000e+000
1.136562497192267e-012	0.000000e+000
1.258632809692267e-012	0.000000e+000
1.380703122192267e-012	0.000000e+000
1.502773434692267e-012	0.000000e+000
1.624843747192267e-012	0.000000e+000
1.746914059692267e-012	0.000000e+000
1.868984372192266e-012	0.000000e+000
1.991054684692266e-012	0.000000e+000
2.113124997192266e-012	0.000000e+000
2.235195309692266e-012	0.000000e+000
2.357265622192266e-012	0.000000e+000
2.479335934692266e-012	0.000000e+000
2.601406247192266e-012	0.000000e+000
2.723476559692266e-012	0.000000e+000
2.845546872192265e-012	0.000000e+000
2.967617184692265e-012	0.000000e+000
3.089687497192265e-012	0.000000e+000
3.211757809692265e-012	0.000000e+000
3.333828122192265e-012	0.000000e+000
3.455898434692265e-012	0.000000e+000
3.577968747192265e-012	0.000000e+000
3.700039059692265e-012	0.000000e+000
3.822109372192265e-012	0.000000e+000
3.944179684692266e-012	0.000000e+000
4.066249997192266e-012	0.000000e+000
4.188320309692266e-012	0.000000e+000
4.310390622192266e-012	0.000000e+000
4.432460934692267e-012	0.000000e+000
4.554531247192267e-012	0.000000e+000
4.676601559692267e-012	0.000000e+000
4.798671872192268e-012	0.000000e+000
4.920742184692268e-012	0.000000e+000
5.042812497192268e-012	0.000000e+000
5.164882809692268e-012	0.000000e+000
5.286953122192269e-012	0.000000e+000
5.409023434692269e-012	0.000000e+000
5.531093747192269e-012	0.000000e+000
5.653164059692270e-012	0.000000e+000
5.775234372192270e-012	0.000000e+000
5.897304684692270e-012	0.000000e+000
6.019374997192270e-012	0.000000e+000
6.141445309692271e-012	0.000000e+000
6.263515622192271e-012	0.000000e+000
6.385585934692271e-012	0.000000e+000
6.507656247192272e-012	0.000000e+000
6.629726559692272e-012	0.000000e+000
6.751796872192272e-012	0.000000e+000
6.873867184692272e-012	0.000000e+000
6.995937497192273e-012	0.000000e+000
7.118007809692273e-012	0.000000e+000
7.240078122192273e-012	0.000000e+000
7.362148434692274e-012	0.000000e+000
7.484218747192273e-012	0.000000e+000
7.606289059692273e-012	0.000000e+000
7.728359372192272e-012	0.000000e+000
7.850429684692271e-012	0.000000e+000
7.972499997192271e-012	0.000000e+000
8.094570309692270e-012	0.000000e+000
8.216640622192270e-012	0.000000e+000
8.338710934692269e-012	0.000000e+000
8.460781247192269e-012	0.000000e+000
8.582851559692268e-012	0.000000e+000
8.704921872192268e-012	0.000000e+000
8.826992184692267e-012	0.000000e+000
8.949062497192267e-012	0.000000e+000
9.071132809692266e-012	0.000000e+000
9.193203122192266e-012	0.000000e+000
9.315273434692265e-012	0.000000e+000
