time	V(n_3p)	V(sum)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.953124965725918e-017	8.179895e-015	8.179232e-015
3.906249931451836e-017	1.635714e-014	1.635625e-014
7.812499862903672e-017	3.270632e-014	3.270102e-014
1.562499972580734e-016	6.537286e-014	6.535167e-014
3.124999945161469e-016	1.305788e-013	1.304942e-013
6.249999890322938e-016	2.604828e-013	2.601454e-013
1.249999978064588e-015	5.182662e-013	5.169251e-013
2.499999956129175e-015	1.025786e-012	1.020491e-012
4.999999912258350e-015	2.009056e-012	1.988421e-012
9.999999824516700e-015	3.851786e-012	3.773475e-012
1.999999964903340e-014	7.067382e-012	6.785921e-012
3.999999929806680e-014	1.180981e-011	1.090812e-011
7.999999859613360e-014	1.588452e-011	1.366735e-011
1.599999971922672e-013	1.073091e-011	8.423614e-012
3.199999943845344e-013	-1.342007e-011	-8.181808e-012
5.699999943845344e-013	-2.430988e-011	-1.653075e-011
7.500000000000000e-013	-5.390352e-012	-4.639188e-012
1.000000000000000e-012	2.447566e-011	2.447566e-011
1.025000000000000e-012	2.652033e-011	2.641422e-011
1.075000000000000e-012	2.997302e-011	2.933293e-011
1.175000000000000e-012	3.303787e-011	3.079087e-011
1.375000000000000e-012	2.568559e-011	2.218982e-011
1.625000000000000e-012	7.642598e-013	3.134097e-013
1.875000000000000e-012	-2.596047e-011	-2.291074e-011
2.125000000000000e-012	-4.048628e-011	-3.600217e-011
2.375000000000000e-012	-3.707566e-011	-3.322748e-011
2.625000000000000e-012	-1.827235e-011	-1.637017e-011
2.875000000000000e-012	8.139675e-012	7.734403e-012
3.125000000000000e-012	3.293061e-011	3.063237e-011
3.375000000000000e-012	4.852859e-011	4.520061e-011
3.625000000000000e-012	5.081464e-011	4.743394e-011
3.875000000000000e-012	3.957788e-011	3.697511e-011
4.125000000000000e-012	1.793005e-011	1.663529e-011
4.374999999999999e-012	-8.896835e-012	-8.705261e-012
4.624999999999999e-012	-3.495743e-011	-3.342263e-011
4.874999999999999e-012	-5.487881e-011	-5.238257e-011
5.124999999999999e-012	-6.481524e-011	-6.187125e-011
5.374999999999999e-012	-6.297573e-011	-6.012240e-011
5.624999999999999e-012	-4.972290e-011	-4.743260e-011
5.874999999999999e-012	-2.730885e-011	-2.592354e-011
6.124999999999999e-012	6.464516e-013	9.497004e-013
6.374999999999999e-012	2.981475e-011	2.902957e-011
6.624999999999999e-012	5.584231e-011	5.411492e-011
6.874999999999999e-012	7.496031e-011	7.255412e-011
7.124999999999999e-012	8.445356e-011	8.170385e-011
7.374999999999999e-012	8.294796e-011	8.021356e-011
7.625000000000000e-012	7.050478e-011	6.812302e-011
7.875000000000000e-012	4.853458e-011	4.678385e-011
8.125000000000001e-012	1.956148e-011	1.863454e-011
8.375000000000002e-012	-1.311939e-011	-1.313008e-011
8.625000000000003e-012	-4.584301e-011	-4.494787e-011
8.875000000000003e-012	-7.498606e-011	-7.329028e-011
9.125000000000004e-012	-9.734596e-011	-9.503268e-011
9.375000000000005e-012	-1.104527e-010	-1.077601e-010
9.625000000000006e-012	-1.127890e-010	-1.099842e-010
9.875000000000006e-012	-1.039061e-010	-1.012584e-010
1.012500000000001e-011	-8.443248e-011	-8.218880e-011
1.037500000000001e-011	-5.598413e-011	-5.434786e-011
1.062500000000001e-011	-2.099069e-011	-2.010627e-011
1.087500000000001e-011	1.754042e-011	1.759703e-011
1.112500000000001e-011	5.629797e-011	5.552249e-011
1.137500000000001e-011	9.195358e-011	9.041052e-011
1.162500000000001e-011	1.214369e-010	1.192515e-010
1.187500000000001e-011	1.421786e-010	1.395243e-010
1.212500000000001e-011	1.523031e-010	1.493866e-010
1.237500000000001e-011	1.507614e-010	1.478053e-010
1.262500000000002e-011	1.373952e-010	1.346214e-010
1.287500000000002e-011	1.129336e-010	1.105468e-010
1.312500000000002e-011	7.892487e-011	7.709905e-011
1.337500000000002e-011	3.761285e-011	3.647981e-011
1.362500000000002e-011	-8.231330e-012	-8.589475e-012
1.387500000000002e-011	-5.550809e-011	-5.506284e-011
1.412500000000002e-011	-1.010038e-010	-9.978050e-011
1.437500000000002e-011	-1.416062e-010	-1.396806e-010
1.462500000000002e-011	-1.745062e-010	-1.719984e-010
1.487500000000002e-011	-1.973748e-010	-1.944400e-010
1.512500000000002e-011	-2.085041e-010	-2.053224e-010
1.537500000000002e-011	-2.069066e-010	-2.036712e-010
1.562500000000002e-011	-1.923676e-010	-1.892730e-010
1.587500000000002e-011	-1.654502e-010	-1.626806e-010
