time	V(ctle_out)	V(n_3p)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.142857122801909e-014	-1.399368e-022	4.232819e-012
2.285714245603818e-014	4.446051e-022	7.811104e-012
3.428571368405727e-014	1.753626e-021	1.073485e-011
4.571428491207636e-014	3.787125e-021	1.300407e-011
5.714285614009545e-014	6.545103e-021	1.461876e-011
6.857142736811454e-014	1.002756e-020	1.557890e-011
7.999999859613360e-014	1.423449e-020	1.588452e-011
1.599999971922672e-013	1.179100e-019	1.073091e-011
2.820703096922672e-013	-5.316607e-018	-8.654824e-012
4.041406221922672e-013	-4.313213e-016	-2.287553e-011
5.262109346922672e-013	-3.827574e-015	-2.399885e-011
6.482812471922671e-013	-1.206144e-014	-1.406976e-011
7.703515596922671e-013	-1.317140e-014	1.360674e-012
8.924218721922671e-013	2.050435e-014	1.668069e-011
1.014492184692267e-012	1.065599e-013	2.777636e-011
1.136562497192267e-012	2.293256e-013	3.247588e-011
1.258632809692267e-012	3.443774e-013	3.039042e-011
1.380703122192267e-012	3.988420e-013	2.247833e-011
1.502773434692267e-012	3.509649e-013	1.053202e-011
1.624843747192267e-012	1.825160e-013	-3.299577e-012
1.746914059692267e-012	-9.701062e-014	-1.689723e-011
1.868984372192266e-012	-4.530624e-013	-2.844668e-011
1.991054684692266e-012	-8.332990e-013	-3.660514e-011
2.113124997192266e-012	-1.177112e-012	-4.057325e-011
2.235195309692266e-012	-1.425385e-012	-4.009202e-011
2.357265622192266e-012	-1.529008e-012	-3.538539e-011
2.479335934692266e-012	-1.455214e-012	-2.706804e-011
2.601406247192266e-012	-1.191308e-012	-1.603534e-011
2.723476559692266e-012	-7.457643e-013	-3.348920e-012
2.845546872192265e-012	-1.469391e-013	9.871758e-012
2.967617184692265e-012	5.601254e-013	2.254458e-011
3.089687497192265e-012	1.318265e-012	3.370237e-011
3.211757809692265e-012	2.063535e-012	4.255071e-011
3.333828122192265e-012	2.730788e-012	4.850569e-011
