Freq.	mag(V(d_3p))
Step Information: C_d=100f  (Run: 1/10)
1.63919000000000e+009	(-7.98465383661948e+000dB,0.00000000000000e+000°)
1.65918000000000e+009	(-7.98321151362222e+000dB,0.00000000000000e+000°)
1.67917000000000e+009	(-7.98175809238151e+000dB,0.00000000000000e+000°)
1.69916000000000e+009	(-7.98029451819354e+000dB,0.00000000000000e+000°)
1.71915000000000e+009	(-7.97882174540226e+000dB,0.00000000000000e+000°)
1.73914000000000e+009	(-7.97734073757891e+000dB,0.00000000000000e+000°)
1.75913000000000e+009	(-7.97585246766305e+000dB,0.00000000000000e+000°)
1.77912000000000e+009	(-7.97435791806709e+000dB,0.00000000000000e+000°)
1.79911000000000e+009	(-7.97285808074687e+000dB,0.00000000000000e+000°)
1.81910000000000e+009	(-7.97135395724038e+000dB,0.00000000000000e+000°)
1.83909000000000e+009	(-7.96984655867658e+000dB,0.00000000000000e+000°)
1.85908000000000e+009	(-7.96833690575577e+000dB,0.00000000000000e+000°)
1.87907000000000e+009	(-7.96682602870408e+000dB,0.00000000000000e+000°)
1.89906000000000e+009	(-7.96531496720264e+000dB,0.00000000000000e+000°)
1.91905000000000e+009	(-7.96380477029357e+000dB,0.00000000000000e+000°)
1.93904000000000e+009	(-7.96229649626393e+000dB,0.00000000000000e+000°)
1.95903000000000e+009	(-7.96079121250879e+000dB,0.00000000000000e+000°)
1.97902000000000e+009	(-7.95928999537498e+000dB,0.00000000000000e+000°)
1.99901000000000e+009	(-7.95779392998592e+000dB,0.00000000000000e+000°)
2.01900000000000e+009	(-7.95630411004938e+000dB,0.00000000000000e+000°)
2.03899000000000e+009	(-7.95482163764851e+000dB,0.00000000000000e+000°)
2.05898000000000e+009	(-7.95334762301709e+000dB,0.00000000000000e+000°)
2.07897000000000e+009	(-7.95188318430046e+000dB,0.00000000000000e+000°)
2.09896000000000e+009	(-7.95042944730189e+000dB,0.00000000000000e+000°)
2.11895000000000e+009	(-7.94898754521598e+000dB,0.00000000000000e+000°)
2.13894000000000e+009	(-7.94755861834922e+000dB,0.00000000000000e+000°)
2.15893000000000e+009	(-7.94614381382880e+000dB,0.00000000000000e+000°)
2.17892000000000e+009	(-7.94474428529987e+000dB,0.00000000000000e+000°)
2.19891000000000e+009	(-7.94336119261199e+000dB,0.00000000000000e+000°)
2.21890000000000e+009	(-7.94199570149558e+000dB,0.00000000000000e+000°)
2.23889000000000e+009	(-7.94064898322796e+000dB,0.00000000000000e+000°)
2.25888000000000e+009	(-7.93932221429106e+000dB,0.00000000000000e+000°)
2.27887000000000e+009	(-7.93801657601926e+000dB,0.00000000000000e+000°)
2.29886000000000e+009	(-7.93673325423962e+000dB,0.00000000000000e+000°)
2.31885000000000e+009	(-7.93547343890372e+000dB,0.00000000000000e+000°)
2.33884000000000e+009	(-7.93423832371189e+000dB,0.00000000000000e+000°)
2.35883000000000e+009	(-7.93302910573051e+000dB,0.00000000000000e+000°)
2.37882000000000e+009	(-7.93184698500204e+000dB,0.00000000000000e+000°)
2.39881000000000e+009	(-7.93069316414891e+000dB,0.00000000000000e+000°)
2.41880000000000e+009	(-7.92956884797091e+000dB,0.00000000000000e+000°)
2.43879000000000e+009	(-7.92847524303699e+000dB,0.00000000000000e+000°)
2.45878000000000e+009	(-7.92741355727139e+000dB,0.00000000000000e+000°)
2.47877000000000e+009	(-7.92638499953440e+000dB,0.00000000000000e+000°)
2.49876000000000e+009	(-7.92539077919850e+000dB,0.00000000000000e+000°)
2.51875000000000e+009	(-7.92443210571953e+000dB,0.00000000000000e+000°)
2.53874000000000e+009	(-7.92351018820376e+000dB,0.00000000000000e+000°)
2.55873000000000e+009	(-7.92262623497070e+000dB,0.00000000000000e+000°)
2.57872000000000e+009	(-7.92178145311223e+000dB,0.00000000000000e+000°)
2.59871000000000e+009	(-7.92097704804800e+000dB,0.00000000000000e+000°)
2.61870000000000e+009	(-7.92021422307790e+000dB,0.00000000000000e+000°)
2.63869000000000e+009	(-7.91949417893121e+000dB,0.00000000000000e+000°)
2.65868000000000e+009	(-7.91881811331326e+000dB,0.00000000000000e+000°)
2.67867000000000e+009	(-7.91818722044948e+000dB,0.00000000000000e+000°)
2.69866000000000e+009	(-7.91760269062732e+000dB,0.00000000000000e+000°)
2.71865000000000e+009	(-7.91706570973618e+000dB,0.00000000000000e+000°)
