Freq.	V(d_3p)
1.77912000000000e+009	(-7.62602361788937e+000dB,-1.78007952123128e+001°)
1.79911000000000e+009	(-7.61876881579985e+000dB,-1.80160368795825e+001°)
1.81910000000000e+009	(-7.61144146145411e+000dB,-1.82318891211181e+001°)
1.83909000000000e+009	(-7.60404228177353e+000dB,-1.84483598921936e+001°)
1.85908000000000e+009	(-7.59657201331753e+000dB,-1.86654571471290e+001°)
1.87907000000000e+009	(-7.58903140264089e+000dB,-1.88831888401503e+001°)
1.89906000000000e+009	(-7.58142120664870e+000dB,-1.91015629260952e+001°)
1.91905000000000e+009	(-7.57374219294953e+000dB,-1.93205873609754e+001°)
1.93904000000000e+009	(-7.56599514020615e+000dB,-1.95402701024029e+001°)
1.95903000000000e+009	(-7.55818083848380e+000dB,-1.97606191098873e+001°)
1.97902000000000e+009	(-7.55030008959544e+000dB,-1.99816423450116e+001°)
1.99901000000000e+009	(-7.54235370744448e+000dB,-2.02033477714921e+001°)
2.01900000000000e+009	(-7.53434251836395e+000dB,-2.04257433551277e+001°)
2.03899000000000e+009	(-7.52626736145324e+000dB,-2.06488370636452e+001°)
2.05898000000000e+009	(-7.51812908891107e+000dB,-2.08726368664427e+001°)
2.07897000000000e+009	(-7.50992856636578e+000dB,-2.10971507342377e+001°)
2.09896000000000e+009	(-7.50166667320215e+000dB,-2.13223866386221e+001°)
2.11895000000000e+009	(-7.49334430288519e+000dB,-2.15483525515282e+001°)
2.13894000000000e+009	(-7.48496236328053e+000dB,-2.17750564446080e+001°)
2.15893000000000e+009	(-7.47652177697190e+000dB,-2.20025062885297e+001°)
2.17892000000000e+009	(-7.46802348157513e+000dB,-2.22307100521925e+001°)
2.19891000000000e+009	(-7.45946843004923e+000dB,-2.24596757018621e+001°)
2.21890000000000e+009	(-7.45085759100424e+000dB,-2.26894112002298e+001°)
2.23889000000000e+009	(-7.44219194900569e+000dB,-2.29199245053953e+001°)
2.25888000000000e+009	(-7.43347250487631e+000dB,-2.31512235697756e+001°)
2.27887000000000e+009	(-7.42470027599414e+000dB,-2.33833163389408e+001°)
2.29886000000000e+009	(-7.41587629658787e+000dB,-2.36162107503782e+001°)
2.31885000000000e+009	(-7.40700161802853e+000dB,-2.38499147321843e+001°)
2.33884000000000e+009	(-7.39807730911823e+000dB,-2.40844362016875e+001°)
2.35883000000000e+009	(-7.38910445637562e+000dB,-2.43197830639998e+001°)
2.37882000000000e+009	(-7.38008416431780e+000dB,-2.45559632104993e+001°)
2.39881000000000e+009	(-7.37101755573901e+000dB,-2.47929845172435e+001°)
2.41880000000000e+009	(-7.36190577198572e+000dB,-2.50308548433127e+001°)
2.43879000000000e+009	(-7.35274997322821e+000dB,-2.52695820290852e+001°)
2.45878000000000e+009	(-7.34355133872840e+000dB,-2.55091738944422e+001°)
2.47877000000000e+009	(-7.33431106710394e+000dB,-2.57496382369042e+001°)
2.49876000000000e+009	(-7.32503037658831e+000dB,-2.59909828296975e+001°)
2.51875000000000e+009	(-7.31571050528674e+000dB,-2.62332154197501e+001°)
2.53874000000000e+009	(-7.30635271142820e+000dB,-2.64763437256195e+001°)
2.55873000000000e+009	(-7.29695827361247e+000dB,-2.67203754353469e+001°)
2.57872000000000e+009	(-7.28752849105305e+000dB,-2.69653182042434e+001°)
2.59871000000000e+009	(-7.27806468381479e+000dB,-2.72111796526023e+001°)
2.61870000000000e+009	(-7.26856819304678e+000dB,-2.74579673633414e+001°)
2.63869000000000e+009	(-7.25904038120965e+000dB,-2.77056888795708e+001°)
2.65868000000000e+009	(-7.24948263229738e+000dB,-2.79543517020898e+001°)
2.67867000000000e+009	(-7.23989635205323e+000dB,-2.82039632868087e+001°)
2.69866000000000e+009	(-7.23028296817928e+000dB,-2.84545310420975e+001°)
2.71865000000000e+009	(-7.22064393053963e+000dB,-2.87060623260594e+001°)
2.73864000000000e+009	(-7.21098071135665e+000dB,-2.89585644437299e+001°)
2.75863000000000e+009	(-7.20129480539984e+000dB,-2.92120446442006e+001°)
2.77862000000000e+009	(-7.19158773016713e+000dB,-2.94665101176660e+001°)
2.79861000000000e+009	(-7.18186102605811e+000dB,-2.97219679923956e+001°)
2.81860000000000e+009	(-7.17211625653875e+000dB,-2.99784253316288e+001°)
2.83859000000000e+009	(-7.16235500829696e+000dB,-3.02358891303933e+001°)
2.85858000000000e+009	(-7.15257889138902e+000dB,-3.04943663122468e+001°)
2.87857000000000e+009	(-7.14278953937574e+000dB,-3.07538637259421e+001°)
2.89856000000000e+009	(-7.13298860944823e+000dB,-3.10143881420153e+001°)
2.91855000000000e+009	(-7.12317778254263e+000dB,-3.12759462492974e+001°)
2.93854000000000e+009	(-7.11335876344328e+000dB,-3.15385446513509e+001°)
2.95853000000000e+009	(-7.10353328087353e+000dB,-3.18021898628299e+001°)
2.97852000000000e+009	(-7.09370308757364e+000dB,-3.20668883057654e+001°)
2.99851000000000e+009	(-7.08386996036551e+000dB,-3.23326463057776e+001°)
3.01850000000000e+009	(-7.07403570020289e+000dB,-3.25994700882147e+001°)
3.03849000000000e+009	(-7.06420213220681e+000dB,-3.28673657742202e+001°)
3.05848000000000e+009	(-7.05437110568560e+000dB,-3.31363393767307e+001°)
3.07847000000000e+009	(-7.04454449413857e+000dB,-3.34063967964058e+001°)
3.09846000000000e+009	(-7.03472419524242e+000dB,-3.36775438174921e+001°)
3.11845000000000e+009	(-7.02491213082012e+000dB,-3.39497861036228e+001°)
3.13844000000000e+009	(-7.01511024679101e+000dB,-3.42231291935583e+001°)
3.15843000000000e+009	(-7.00532051310151e+000dB,-3.44975784968681e+001°)
3.17842000000000e+009	(-6.99554492363596e+000dB,-3.47731392895595e+001°)
3.19841000000000e+009	(-6.98578549610593e+000dB,-3.50498167096556e+001°)
3.21840000000000e+009	(-6.97604427191803e+000dB,-3.53276157527285e+001°)
3.23839000000000e+009	(-6.96632331601916e+000dB,-3.56065412673913e+001°)
3.25838000000000e+009	(-6.95662471671803e+000dB,-3.58865979507537e+001°)
3.27837000000000e+009	(-6.94695058548260e+000dB,-3.61677903438503e+001°)
3.29836000000000e+009	(-6.93730305671263e+000dB,-3.64501228270428e+001°)
3.31835000000000e+009	(-6.92768428748606e+000dB,-3.67335996154082e+001°)
3.33834000000000e+009	(-6.91809645727914e+000dB,-3.70182247541164e+001°)
3.35833000000000e+009	(-6.90854176765920e+000dB,-3.73040021138079e+001°)
3.37832000000000e+009	(-6.89902244194958e+000dB,-3.75909353859795e+001°)
